FMAWDB,TK015,85772691118,20B,85772691118
3ODRVJ,TK024,72960400981,21B,72960400981
B8U31W,TK004,22821628850,11D,22821628850
W5PMYO,TK002,87375814169,7F,87375814169
ZZXVQ4,TK025,94335425491,15F,94335425491
GJDCHM,TK006,01785069951,10B,01785069951
NK2LZ9,TK004,30955293883,18E,30955293883
3F90IK,TK010,28612638784,18A,28612638784
GDWDIA,TK018,37391714561,2D,37391714561
JJD50X,TK003,73247765358,1C,73247765358
JV7ESL,TK008,28965167719,23A,28965167719
I1VUPR,TK019,80985866449,23A,80985866449
8J35X9,TK009,06082999282,4F,06082999282
MIE44W,TK005,16207545509,11C,16207545509
JGPRQH,TK003,93946224217,6D,93946224217
EB6VK7,TK006,78359502631,23E,78359502631
H26EEQ,TK014,59059788041,10C,59059788041
EJXCEN,TK015,12443083168,15F,12443083168
17SRN5,TK002,74801951540,26F,74801951540
5N2E3Q,TK002,36732437008,13D,36732437008
C9PL72,TK004,91325084521,23A,91325084521
AOVCQ7,TK016,60226172121,16B,60226172121
37G209,TK025,88081457541,3C,88081457541
WL52Q0,TK017,09436779988,30C,09436779988
I1S5Q7,TK022,16555135520,11B,16555135520
8IPC5U,TK023,47208368044,20A,47208368044
JDAD99,TK002,47735449038,5A,47735449038
X9V9QJ,TK005,13008518288,16B,13008518288
2VPOV4,TK023,12764932749,21D,12764932749
RYL7EE,TK002,45057195148,18F,45057195148
2IQN90,TK018,65697314183,29B,65697314183
AKQDS1,TK023,32102413231,4E,32102413231
OSR4Y5,TK016,59378637860,11A,59378637860
TUDKCA,TK010,17811200656,25D,17811200656
5U7F1X,TK001,56749634328,2E,56749634328
S01D1N,TK004,78078988053,20D,78078988053
DM9HDN,TK018,21230535998,14D,21230535998
FNODQ2,TK025,78118217310,30A,78118217310
R8R8ER,TK020,64065929245,14D,64065929245
8NC4BJ,TK021,58849019258,26A,58849019258
UHHTA8,TK006,60451326908,26A,60451326908
NRHL4X,TK009,81842103210,28C,81842103210
4GGEQV,TK012,65687928911,28D,65687928911
DWAZVI,TK016,17271006490,12D,17271006490
ISAOFM,TK008,17841166368,26E,17841166368
NLKNEL,TK020,61347060187,26E,61347060187
DHL58H,TK022,66847743154,12C,66847743154
RJV87E,TK002,91079870573,2E,91079870573
2JSAJM,TK024,82959930550,29F,82959930550
XBCXZ8,TK002,08049883370,11C,53589414437
2P5X40,TK001,47247631618,4A,58566436454
7OB1GE,TK006,06009234595,27A,20044588164
UUW7E1,TK015,52254647092,4C,17147325057
1PEFO5,TK011,38165369443,3E,53054485791
2S0JSW,TK015,93429103564,5E,10199882844
JBNU5N,TK009,64987974161,29E,59633950335
I9EBM4,TK014,88944695861,5E,53307661650
HQOBIL,TK016,07523340507,30D,26320655838
E1T3N1,TK023,72997981386,17A,28416841633
3K32EM,TK009,02736169774,20C,20199462193
LQJI83,TK008,02825654355,30E,78711417649
OQDE89,TK005,76640625811,29A,06285357982
QDQQ8I,TK001,01837503238,12F,21917025712
ZN73KB,TK001,94694030412,7A,83123093562
6C5WHR,TK010,91078133549,24B,56369472661
P6XQU2,TK017,68156705924,28F,95177339532
CWA4WE,TK021,30123534955,12C,26016867057
LDXTOB,TK017,27750451173,7E,78904224126
MQI1VT,TK001,12509122335,6A,25098569742
M6LH5H,TK014,30244693956,24C,50717794157
C2OZ3H,TK008,03516275448,14C,98068729275
5P55GO,TK006,87112826677,16C,11738941365
HAIXLN,TK015,46415818550,23C,36951401159
5ST0AX,TK011,14480131875,8E,10918690089
1IKNXV,TK005,07424211340,10A,23917893221
NKSFOH,TK008,13773195631,14B,62608300093
ZS9O5F,TK023,90205851459,21F,46721197386
26B74Z,TK002,00170320982,27F,37875985580
RKXIYT,TK004,74669927209,10C,17868546851
BATR8N,TK025,86781524401,26E,83904979539
D20VVC,TK024,99983318388,14E,78997254088
W7RLVI,TK017,32016211546,7D,34677833047
5S7IAW,TK013,53736012946,29B,80564580528
NW1FBM,TK001,58139339532,11C,71371948265
3O95AZ,TK015,64140089931,2F,39243627565
N1X1BW,TK023,17693129876,8F,09341751054
OXHV2X,TK022,98348024768,4D,34389513132
5K779P,TK024,05510763300,28E,04207742144
3V3Q9T,TK021,25379395476,6C,14876182974
9ZQSQ7,TK014,17039098743,3C,91413814897
SYEIPQ,TK016,57863348389,9C,84724730653
24EDJB,TK004,08192506291,23B,90031809315
AOZQD8,TK015,97506738248,17C,67195002114
E2SGX6,TK020,31392998105,19D,95533328577
1AVALZ,TK024,00535293793,15E,68996139925
3T65KB,TK012,32033824657,29B,83510736544
A8R5IX,TK007,98940287731,18F,85099518846
7UZKL4,TK013,40491551649,2F,55393879781
ZB6ESL,TK009,67565633545,6A,73412796305
I8ABSY,TK007,89595176146,13D,30692175586
W4T6YP,TK015,02621721514,13C,85772691118
Q3Q314,TK024,18846457335,13B,72960400981
80BWJN,TK004,61258883417,5D,22821628850
KMHI1I,TK002,15146767225,10F,87375814169
0A041A,TK010,12345678910,2A,12345678910
7147B2,TK001,10258479635,30A,10258479635
82525B,TK002,10258479396,29F,10258479635
E4DFA0,TK016,10258479635,1A,10258479635
E7BE24,TK016,10258479635,4B,10258479635
E820B3,TK019,10258479635,1C,10258479635
0FAAF6,TK014,10258479635,4A,10258479635
F053B6,TK017,10258479635,3C,10258479635
C4D845,TK025,10258479635,3F,10258479635
396210,TK021,10258479635,27D,10258479635
